Category,Sub-Category,Item,Description,Technical Details,Input,Output,Dependencies,File/Location,Status
PRD - Overview,Project Identity,Project Name,"AgentForge — Configuration-Driven Agentic System","An end-to-end AI-powered pipeline that takes a natural-language prompt from a user, classifies the intent, extracts structured agent specifications, generates complete Python agent code, verifies it, and produces documentation — all orchestrated automatically.",N/A,N/A,N/A,d:\responsible AI newww\,Active
PRD - Overview,Project Identity,Project Type,"Multi-Agent Pipeline + Web Application","Backend pipeline of 5 specialized AI agents orchestrated sequentially, with a Flask web server and a modern dark-themed frontend UI for interactive use.",N/A,N/A,N/A,N/A,Active
PRD - Overview,Project Identity,Primary Goal,"Automate AI agent code generation from natural language","Users describe an agent in plain English; the system produces a complete, runnable Python project (agent.py, main.py, requirements.txt, README.md) with AI-based verification and documentation.",Natural language prompt,Complete Python agent project,Groq LLM API,N/A,Active
PRD - Overview,Project Identity,Target Users,"Developers; AI enthusiasts; non-technical users wanting custom agents","Anyone who wants to quickly prototype or generate an AI agent without writing code manually.",N/A,N/A,N/A,N/A,Active
PRD - Overview,Project Identity,LLM Provider,"Groq Cloud API","Uses Groq's hosted LLM inference with model 'llama-3.3-70b-versatile' for all AI operations: classification, extraction, code generation, verification, and documentation.",N/A,N/A,groq Python SDK,groq_utils.py,Active
PRD - Overview,Project Identity,Architecture Style,"Sequential Multi-Agent Pipeline","Five specialized agents run in order, each producing an artifact consumed by the next. Pipeline supports skip-on-failure and start-from-step options.",N/A,N/A,N/A,main.py,Active
PRD - Requirements,Functional Requirements,FR-01: Prompt Classification,"System must classify user input as 'agent_building' or 'conversational'","Uses Groq LLM with a structured classification prompt. Returns JSON with classification, user_text, confidence (high/medium/low), and reason.",Raw user text,"JSON: {classification, user_text, confidence, reason}",Groq API,perspective_agent.py,Implemented
PRD - Requirements,Functional Requirements,FR-02: Conversational Responses,"For non-building queries, system must provide knowledgeable answers with agent suggestions","When classified as 'conversational', a second LLM call generates an informative answer plus an 'Agent Opportunity' suggestion to nudge users toward building.",User question,"Conversational response text + agent suggestion",Groq API,perspective_agent.py,Implemented
PRD - Requirements,Functional Requirements,FR-03: Specification Extraction,"Extract structured agent specifications from natural language","Extracts 4 categories via parallel LLM calls: core_specifications, technical_requirements, behavioral_traits, integration_needs. Applies intelligent defaults for missing values.",Plain text agent description,"Structured JSON with 20+ agent specification fields",Groq API,inputextractor.py,Implemented
PRD - Requirements,Functional Requirements,FR-04: Language Auto-Selection,"Automatically determine the best programming language for the agent","A dedicated LLM prompt analyzes the user's requirements to select the most appropriate language. Defaults to Python if no clear language is specified.",Agent description text,"JSON: {language, reason}",Groq API,inputextractor.py,Implemented
PRD - Requirements,Functional Requirements,FR-05: Code Generation,"Generate complete, production-ready Python agent code","Generates 4 files via focused, individual Groq calls: agent.py (main logic), main.py (entry point), requirements.txt (dependencies), README.md (documentation). Includes retry logic (3 attempts) and output cleaning.",final_agent.json specification,"4 files in generated_agent/ folder",Groq API,agentbuild.py,Implemented
PRD - Requirements,Functional Requirements,FR-06: Code Verification,"AI-based review of generated code against specification","Sends both the specification JSON and generated code to Groq for structured review. Returns correctness_percentage, implemented_correctly/partially/not_implemented lists, issues, and summary.",final_agent.json + generated code,"verifier_result.json with score and issues",Groq API,verifier.py,Implemented
PRD - Requirements,Functional Requirements,FR-07: Documentation Generation,"Produce a comprehensive markdown report of the generated agent","Reads all 4 generated files, sends each to Groq for AI analysis, generates step-by-step run instructions, and assembles a full markdown report.",generated_agent/ folder contents,output.md report,Groq API,code_interface_agent.py,Implemented
PRD - Requirements,Functional Requirements,FR-08: Web Interface,"Interactive web UI for pipeline execution and artifact viewing","Flask-served dark-mode UI with chat interface, real-time pipeline status tracking, tabbed artifact viewer (Report/agent.py/main.py/requirements.txt/README.md/Spec JSON), and prompt history sidebar.",User interactions via browser,Visual pipeline feedback + downloadable artifacts,"Flask, Flask-CORS",server.py + frontend/,Implemented
PRD - Requirements,Functional Requirements,FR-09: Input History,"Persist all user prompts with timestamps in CSV format","Every prompt is appended to input.csv with ISO timestamp. Frontend sidebar displays history in reverse chronological order with click-to-reuse.",User prompts,input.csv with timestamp + user_input columns,csv module (stdlib),main.py / server.py,Implemented
PRD - Requirements,Functional Requirements,FR-10: Input Validation,"Validate and sanitize all user inputs","Min 3 chars, max 5000 chars. Basic prompt injection sanitization (strips 'system prompt', 'ignore previous', 'you are now' patterns).",Raw user input,Validated/sanitized text,re module (stdlib),perspective_agent.py,Implemented
PRD - Requirements,Non-Functional Requirements,NFR-01: Resilience,"Pipeline should handle failures gracefully","--skip-on-failure flag continues pipeline even if a step fails. Verifier step is non-fatal in web mode. Retry logic on Groq API calls (3 attempts).",N/A,N/A,N/A,main.py / agentbuild.py,Implemented
PRD - Requirements,Non-Functional Requirements,NFR-02: Code Quality,"Generated code must follow best practices","System prompts enforce PEP 8, type hints, docstrings, logging over print, SOLID principles, proper error handling, and no hardcoded secrets.",N/A,N/A,N/A,agentbuild.py,Implemented
PRD - Requirements,Non-Functional Requirements,NFR-03: Security,"No secrets in generated code; safe API key handling","All API keys loaded from environment via python-dotenv. Generated code has regex-based secret stripping. .env excluded from git via .gitignore.",N/A,N/A,python-dotenv,.env / .gitignore,Implemented
PRD - Requirements,Non-Functional Requirements,NFR-04: Performance,"Pipeline completes within reasonable time","Each Groq API call configured with specific max_tokens limits (512-4096). Web server uses threading for async pipeline execution. 180-300s timeouts per step.",N/A,N/A,N/A,server.py,Implemented
Workflow,Pipeline Overview,Step 0: Save Input,"User prompt is saved to input.csv with timestamp","Appends a new row [timestamp, user_input] to input.csv. Creates file with header row if it doesn't exist.",User text input,input.csv (appended),csv module,main.py → save_input_to_csv(),Active
Workflow,Pipeline Overview,Step 1: Perspective Agent,"Classify user input and route to appropriate path","Calls Groq to classify as 'agent_building' → continue pipeline, or 'conversational' → show answer and loop back. Robust JSON extraction with 5-level fallback.",User text input,"build_agent_output.json OR conversational_output.json",Groq API,perspective_agent.py,Active
Workflow,Pipeline Overview,Step 2: Input Extractor,"Extract structured agent specifications from plain text","Makes 4 separate Groq calls to extract: core specs (name, purpose, capabilities, domain), technical requirements (language, framework, DB), behavioral traits (tone, personality), and integration needs (APIs, systems). Merges results and applies defaults.",build_agent_output.json,final_agent.json,Groq API,inputextractor.py,Active
Workflow,Pipeline Overview,Step 3: Agent Builder,"Generate complete Python project from specification","Makes 4 focused Groq calls (one per file). Applies code cleaning: strips markdown fences, removes preamble prose, deduplicates imports, removes accidental secrets. Validates output structure.",final_agent.json,"generated_agent/{agent.py, main.py, requirements.txt, README.md}",Groq API,agentbuild.py,Active
Workflow,Pipeline Overview,Step 4: Verifier Agent,"AI-based correctness review of generated code","Sends agent.py + main.py + spec JSON to Groq. Returns structured review with correctness_percentage, lists of correctly/partially/not implemented items, issues, and a summary. PASS/FAIL threshold at 60%.",generated_agent/ + final_agent.json,verifier_result.json,Groq API,verifier.py,Active
Workflow,Pipeline Overview,Step 5: Code Interface Agent,"Generate comprehensive documentation report","Reads all 4 files from generated_agent/, sends each to Groq for analysis, generates step-by-step run instructions, and assembles a full markdown report with AI analysis + raw source code.",generated_agent/ folder,output.md,Groq API,code_interface_agent.py,Active
Workflow,Routing Logic,Agent Building Route,"Pipeline proceeds through all 5 steps","When classification = 'agent_building', the pipeline runs Steps 2-5 sequentially, generating the complete agent project.",classification = agent_building,"4 generated files + verifier_result.json + output.md",All 5 agents,main.py,Active
Workflow,Routing Logic,Conversational Route,"Pipeline short-circuits after Step 1","When classification = 'conversational', a Groq call generates an informative answer + Agent Opportunity suggestion. Steps 2-5 are skipped. User is prompted to submit a building request.",classification = conversational,"conversational_output.json, then loops back to input",Groq API,main.py / server.py,Active
Architecture,Backend Agents,Perspective Agent (Step 1),"Intent classifier and router","Uses CLASSIFICATION_PROMPT to determine if user wants to build an agent or asks a question. Robust JSON extraction: direct parse → regex → keyword fallback → default. For conversational queries, generates answer with CONVERSATIONAL_PROMPT.",perspective_agent.py,352 lines,"groq_utils.py, Groq SDK","d:\responsible AI newww\perspective_agent.py",Active
Architecture,Backend Agents,Input Extractor (Step 2),"Structured specification extractor","AdvancedAgentExtractor class with 4 extraction categories via separate LLM calls. build_simple_agent_json() merges results with DEFAULTS dict for 20+ fields. Includes interactive confirm_and_edit loop (CLI mode only).",inputextractor.py,344 lines,"groq_utils.py, Groq SDK","d:\responsible AI newww\inputextractor.py",Active
Architecture,Backend Agents,Agent Builder (Step 3),"Code generator using focused LLM calls","CodeGeneratorAgent class generates 4 files with dedicated system prompts. clean_output() strips markdown fences, prose, duplicate imports, and secrets. validate_output() checks for class definitions, __init__, and unassigned self attributes. Uses capability-to-library hints mapping (_CAP_HINTS).",agentbuild.py,649 lines,"groq SDK (direct), dotenv","d:\responsible AI newww\agentbuild.py",Active
Architecture,Backend Agents,Verifier Agent (Step 4),"AI-based code reviewer","Sends spec JSON + agent.py + main.py to Groq with SYSTEM_VERIFIER prompt. Expects structured JSON response with correctness_percentage (0-100). PASS threshold = 60%.",verifier.py,143 lines,"groq SDK, dotenv","d:\responsible AI newww\verifier.py",Active
Architecture,Backend Agents,Code Interface Agent (Step 5),"Documentation generator","Reads 4 expected files from generated_agent/, sends each to Groq for analysis, generates run instructions separately, and assembles markdown report with file analyses, raw source, and run instructions.",code_interface_agent.py,274 lines,"groq_utils.py, Groq SDK","d:\responsible AI newww\code_interface_agent.py",Active
Architecture,Shared Utilities,groq_utils.py,"Centralized Groq API utilities","Provides: require_groq_api_key(), groq_client(), groq_chat() for plain text responses, groq_chat_json() for JSON-parsed responses. _extract_first_json_object() robustly extracts JSON from LLM output, handling code fences and trailing commas. Default model: llama-3.3-70b-versatile.",groq_utils.py,103 lines,"groq SDK, python-dotenv","d:\responsible AI newww\groq_utils.py",Active
Architecture,Pipeline Orchestrator,main.py (root),"CLI pipeline orchestrator","Runs all 5 steps sequentially with colored console output. Features: argparse CLI (--input, --input-file, --skip-on-failure, --start-from), pre-flight script validation, conversational loop (re-prompts user after conversational responses), final summary with pass/fail status and timing.",main.py,572 lines,"subprocess, dotenv, all agent scripts","d:\responsible AI newww\main.py",Active
Architecture,Web Server,server.py,"Flask web server for frontend + REST API","Serves static frontend from ./frontend. Exposes REST API: POST /api/generate (start pipeline), GET /api/status/<id> (poll job), GET /api/result/<id> (fetch artifacts), GET /api/history (list past prompts). Runs pipeline in background thread. Manages per-job state in memory (jobs dict).",server.py,406 lines,"Flask, Flask-CORS, threading","d:\responsible AI newww\server.py",Active
Architecture,Frontend,Frontend Application,"Modern dark-mode web UI (Cursor-inspired)","3 files: index.html (121 lines), app.js (340 lines), style.css (237 lines). Split-panel layout: left chat + right pipeline/artifacts. Real-time pipeline status polling (1.2s interval). Tabbed artifact viewer for all generated files. History sidebar with click-to-reuse. Toast notifications.",frontend/,3 files,"Inter + JetBrains Mono fonts","d:\responsible AI newww\frontend\",Active
API Endpoints,REST API,POST /api/generate,"Start a new pipeline job","Accepts JSON body: {prompt: string}. Validates prompt (3-5000 chars). Creates job with UUID, spawns background thread. Returns {job_id, status: 'running'}.","{prompt: string}","{job_id: string, status: string}",Flask,server.py line 278,Active
API Endpoints,REST API,GET /api/status/<job_id>,"Poll pipeline job status","Returns current job state: id, status (running/done/error), route, current_step (0-5), steps array with individual statuses, and error message if any.",job_id (URL param),"{id, status, route, current_step, steps[], error}",Flask,server.py line 321,Active
API Endpoints,REST API,GET /api/result/<job_id>,"Fetch final pipeline artifacts","Returns complete results: classification, agent_spec, verifier_result, conversational_response, generated files content, output_md report, and next_step_hint for conversational routes.",job_id (URL param),"Full result object with files, spec, report",Flask,server.py line 338,Active
API Endpoints,REST API,GET /api/history,"Get prompt history from input.csv","Reads input.csv, returns last 50 entries in reverse chronological order as [{timestamp, prompt}].",None,"[{timestamp, prompt}] (max 50 entries)",Flask + csv module,server.py line 380,Active
Data Flow,Artifacts,input.csv,"User prompt log","Columns: timestamp (ISO 8601), user_input (text). Append-only. Created automatically on first prompt.",N/A,N/A,N/A,"d:\responsible AI newww\input.csv",Active
Data Flow,Artifacts,build_agent_output.json,"Perspective agent output (agent_building route)","Contains: route, classification, user_text, confidence, reason, original_input. Produced only when classification = agent_building.",N/A,N/A,N/A,"d:\responsible AI newww\build_agent_output.json",Generated
Data Flow,Artifacts,conversational_output.json,"Perspective agent output (conversational route)","Contains: route, classification, user_text, conversational_response, confidence, reason, original_input. Produced only when classification = conversational.",N/A,N/A,N/A,"d:\responsible AI newww\conversational_output.json",Generated
Data Flow,Artifacts,final_agent.json,"Extracted agent specification","20+ fields including: user input, agent_name, primary_purpose, capabilities[], domain, language, framework, api_integrations[], database, tone, personality[], external_apis[], etc. Defaults applied for missing values.",N/A,N/A,N/A,"d:\responsible AI newww\final_agent.json",Generated
Data Flow,Artifacts,generated_agent/ folder,"Complete generated Python project","Contains 4 files: agent.py (main agent class with all capabilities), main.py (entry point), requirements.txt (pinned dependencies), README.md (full documentation).",N/A,N/A,N/A,"d:\responsible AI newww\generated_agent\",Generated
Data Flow,Artifacts,verifier_result.json,"Verification report","Contains: ai_review (correctness_percentage, implemented_correctly[], implemented_partially[], not_implemented[], issues[], summary), overall_correctness_percentage, threshold (60), overall_status (PASS/FAIL).",N/A,N/A,N/A,"d:\responsible AI newww\verifier_result.json",Generated
Data Flow,Artifacts,output.md,"Final documentation report","Markdown report with: generation metadata, files detected, run instructions, per-file AI analysis + raw source code. Generated by code_interface_agent.py.",N/A,N/A,N/A,"d:\responsible AI newww\output.md",Generated
Technology Stack,Backend,Python,"Primary backend language","Python 3.x used for all backend agents, pipeline orchestration, and web server.",N/A,N/A,N/A,N/A,Active
Technology Stack,Backend,Flask,"Web framework for REST API + static file serving","Flask 3.0+ with Flask-CORS for cross-origin support. Serves frontend static files and exposes REST API endpoints. Runs on port 5000.",N/A,N/A,"flask>=3.0.0, flask-cors>=4.0.0",server.py,Active
Technology Stack,Backend,Groq SDK,"LLM inference API client","Python SDK for Groq cloud API. Used for all AI operations via chat completions endpoint with model llama-3.3-70b-versatile.",N/A,N/A,groq>=0.9.0,All agent scripts,Active
Technology Stack,Backend,python-dotenv,"Environment variable management","Loads GROQ_API_KEY and other secrets from .env file. Used across all modules with find_dotenv() and override=True.",N/A,N/A,python-dotenv>=1.0.0,.env,Active
Technology Stack,Frontend,HTML5,"Page structure","Single-page application with semantic HTML5. 121 lines. Includes sidebar, main content area with chat and pipeline panels, tabbed artifact viewer.",N/A,N/A,N/A,frontend/index.html,Active
Technology Stack,Frontend,Vanilla CSS,"Styling","237 lines of dark-mode Cursor-inspired CSS. Uses CSS custom properties, glassmorphism effects, radial gradients, backdrop-filter blur. Fonts: Inter (sans) + JetBrains Mono (mono).",N/A,N/A,"Google Fonts CDN",frontend/style.css,Active
Technology Stack,Frontend,Vanilla JavaScript,"Client-side logic","340 lines in IIFE module. Handles: API communication, polling (1.2s interval), pipeline visualization, chat interface, tab switching, history management, toast notifications, server health check.",N/A,N/A,Fetch API (native),frontend/app.js,Active
Technology Stack,LLM Configuration,Model,"llama-3.3-70b-versatile","Groq-hosted Meta Llama 3.3 70B model. Used for all AI tasks: classification (temp=0.0), extraction (temp=0.0), code generation (temp=0.1), verification (temp=0.0), analysis (temp=0.2), conversation (temp=0.7).",N/A,N/A,Groq Cloud,groq_utils.py / all agents,Active
Technology Stack,LLM Configuration,Token Limits,"Varies by task","Classification: 512 tokens, Extraction: 900 tokens/category, Code generation: 4096 tokens/file, Verification: 1024 tokens, Analysis: 900 tokens/file, Run instructions: 1000 tokens",N/A,N/A,N/A,Various agent files,Active
Configuration,Environment Variables,GROQ_API_KEY,"Groq Cloud API authentication key","Required. Used by all agents for LLM inference. Loaded from .env file via python-dotenv.",N/A,N/A,N/A,.env,Required
Configuration,Environment Variables,GROQ_MODEL,"Optional model override","Defaults to 'llama-3.3-70b-versatile'. Can be overridden via environment variable to use a different Groq model.",N/A,N/A,N/A,.env / groq_utils.py,Optional
Configuration,CLI Arguments,--input / -i,"Text prompt describing the agent to build","Mutually exclusive with --input-file. Passed directly as user input to the pipeline.",N/A,N/A,N/A,main.py,Optional
Configuration,CLI Arguments,--input-file / -f,"Path to a .txt file containing the prompt","Mutually exclusive with --input. Reads file content as user input.",N/A,N/A,N/A,main.py,Optional
Configuration,CLI Arguments,--skip-on-failure,"Continue pipeline even if a step fails","Boolean flag. Default: False. When True, pipeline continues to next step on failure instead of exiting.",N/A,N/A,N/A,main.py,Optional
Configuration,CLI Arguments,--start-from,"Resume pipeline from a specific step (1-5)","Integer 1-5. Skips earlier steps. Useful for re-running specific stages without full pipeline restart.",N/A,N/A,N/A,main.py,Optional
Configuration,Pipeline Constants,THRESHOLD,"Verifier pass/fail threshold","Set to 60 (percent). If correctness_percentage >= 60, overall_status = PASS.",N/A,N/A,N/A,verifier.py,Active
Configuration,Pipeline Constants,MAX_RETRIES,"Code generation retry count","Set to 3. Agent builder retries each file generation up to 3 times on RuntimeError.",N/A,N/A,N/A,agentbuild.py,Active
Configuration,Pipeline Constants,MAX_INPUT_LENGTH,"Maximum user input length","Set to 5000 characters. Validated in perspective_agent.py and server.py.",N/A,N/A,N/A,perspective_agent.py,Active
Configuration,Pipeline Constants,MIN_INPUT_LENGTH,"Minimum user input length","Set to 3 characters. Validated in perspective_agent.py and server.py.",N/A,N/A,N/A,perspective_agent.py,Active
Specification Extraction,Default Values,agent_name,"Default: 'AutoAgent'","Applied when user doesn't specify an agent name.",N/A,N/A,N/A,inputextractor.py,Active
Specification Extraction,Default Values,language,"Default: 'Python'","Applied when language isn't mentioned or auto-detected.",N/A,N/A,N/A,inputextractor.py,Active
Specification Extraction,Default Values,database,"Default: 'json_file'","Applied when no database is mentioned.",N/A,N/A,N/A,inputextractor.py,Active
Specification Extraction,Default Values,tone,"Default: 'neutral'","Applied when no tone is specified.",N/A,N/A,N/A,inputextractor.py,Active
Specification Extraction,Default Values,security,"Default: 'basic'","Applied when no security level is specified.",N/A,N/A,N/A,inputextractor.py,Active
Specification Extraction,Categories Extracted,Core Specifications,"Agent Name, Primary Purpose, Capabilities, Target Users, Domain, Content Types, Decision Authority","Extracted via dedicated LLM prompt with strict JSON output format.",User text,Structured JSON,Groq API,inputextractor.py,Active
Specification Extraction,Categories Extracted,Technical Requirements,"Programming Language, Framework, APIs, Database, Cloud Platform, Performance, Security, Storage, Memory, Tools","Extracted via dedicated LLM prompt. Framework validation: non-web frameworks (pandas, numpy) moved to third_party_tools.",User text,Structured JSON,Groq API,inputextractor.py,Active
Specification Extraction,Categories Extracted,Behavioral Traits,"Tone, Personality, Emotional Intelligence","Extracted via dedicated LLM prompt. Conservative extraction — only uses values explicitly in user input.",User text,Structured JSON,Groq API,inputextractor.py,Active
Specification Extraction,Categories Extracted,Integration Needs,"External APIs, Internal Systems, Database Connections","Extracted via dedicated LLM prompt. Conservative extraction with emphasis: 'Never create new information not explicitly present.'",User text,Structured JSON,Groq API,inputextractor.py,Active
Code Generation,Output Files,agent.py,"Main agent class with all capabilities","Follows strict structure: stdlib imports → third-party imports → constants → class with __init__ → capability methods → utility methods → run() method → if __name__ block. All methods fully implemented, no stubs.",N/A,N/A,N/A,generated_agent/agent.py,Generated
Code Generation,Output Files,main.py,"Application entry point","Imports agent class, handles CLI args via argparse, configures logging, implements proper error handling. Framework-aware: FastAPI → uvicorn, Flask → app.run(), standalone → asyncio.",N/A,N/A,N/A,generated_agent/main.py,Generated
Code Generation,Output Files,requirements.txt,"Python package dependencies","Sorted alphabetically with >= version pinning. Always includes python-dotenv>=1.0.0. Auto-detected from capabilities, framework, database, and API specifications.",N/A,N/A,N/A,generated_agent/requirements.txt,Generated
Code Generation,Output Files,README.md,"Project documentation","Includes: title, description, features, prerequisites, installation steps, how to run, capabilities list, and example usage.",N/A,N/A,N/A,generated_agent/README.md,Generated
Code Generation,Capability Hints,CSV reading,"Use csv.DictReader from stdlib","Hint: open(path,'r'), csv.DictReader(f) to read rows.",N/A,N/A,csv (stdlib),agentbuild.py,Active
Code Generation,Capability Hints,Named entity extraction,"Use spaCy NLP library","Hint: spacy.load('en_core_web_sm'); doc=nlp(text); iterate doc.ents.",N/A,N/A,spacy,agentbuild.py,Active
Code Generation,Capability Hints,Web scraping,"Use requests + BeautifulSoup4","Hint: requests.get(url), BeautifulSoup(resp.content,'html.parser').",N/A,N/A,"requests, beautifulsoup4",agentbuild.py,Active
Code Generation,Capability Hints,LLM integration,"Use Groq SDK","Hint: Groq(api_key=os.getenv('GROQ_API_KEY')); client.chat.completions.create().",N/A,N/A,groq,agentbuild.py,Active
Code Generation,Capability Hints,PDF processing,"Use PyPDF2","Hint: PyPDF2.PdfReader(path); page.extract_text().",N/A,N/A,PyPDF2,agentbuild.py,Active
Code Generation,Code Cleaning,Markdown fence removal,"Strips ```python and ``` blocks from LLM output","Regex: ^```[\w]*\n? and \n?```$",N/A,N/A,re module,agentbuild.py,Active
Code Generation,Code Cleaning,Prose stripping,"Removes preamble/trailing commentary","Regex detects lines starting with: 'sure', 'here's', 'certainly', 'this is', 'the above', etc.",N/A,N/A,re module,agentbuild.py,Active
Code Generation,Code Cleaning,Import deduplication,"Removes duplicate import statements","Normalizes import lines, tracks seen set, keeps only first occurrence.",N/A,N/A,re module,agentbuild.py,Active
Code Generation,Code Cleaning,Secret removal,"Strips hardcoded API keys from generated code","Regex: sk-[a-zA-Z0-9]{20+} and api_key='...' patterns replaced with os.getenv('API_KEY').",N/A,N/A,re module,agentbuild.py,Active
Code Generation,Validation Checks,Class definition check,"agent.py must contain 'class ' keyword","Logs warning if no class definition found.",N/A,N/A,N/A,agentbuild.py,Active
Code Generation,Validation Checks,__init__ check,"agent.py must contain 'def __init__' method","Logs warning if no __init__ method found.",N/A,N/A,N/A,agentbuild.py,Active
Code Generation,Validation Checks,Unassigned self attributes,"Detects self.x used but not assigned in __init__","Regex-based analysis compares assigned vs used self attributes. Logs warning for potential AttributeError.",N/A,N/A,N/A,agentbuild.py,Active
Frontend,UI Layout,Sidebar,"Left sidebar with branding, history, and server status","320px width. Contains: AgentForge logo/branding, scrollable prompt history, server status pill (Online/Offline), usage tip hint.",N/A,N/A,N/A,frontend/index.html,Active
