text,span1_index,span2_index,span1_text,span2_text,idx,label
"Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .",32,47,anyone,him,0,0
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",0,39,Mr. Moncrieff,his,1,1
"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.",13,17,lemon trees,they,2,0
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",2,20,Larry,his,3,0
"Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval",1,14,Chester,his,4,0
The large ball crashed right through the table because it was made of styrofoam.,6,9,the table,it,5,1
"The path to the lake was blocked, so we couldn't use it .",0,11,The path,it,6,1
"While Nancy and Ellen counted the silverware, Mrs. Smith hastened upstairs. In a few minutes she returned and one look at her stricken face told the girls that the precious map was gone.",3,21,Ellen,her,7,0
"Meanwhile, in the forest, the elephants are calling and hunting high and low for Arthur and Celeste , and their mothers are very worried. Fortunately, in flying over the town, an old marabou bird has seen them and come back quickly to tell the news.",19,36,their mothers,them,8,0
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,0,12,The customer,He,9,0
Jane gave Joan candy because she was hungry.,0,5,Jane,she,10,0
"I tried to paint a picture of an orchard, with lemons in the lemon trees , but they came out looking more like light bulbs.",10,17,lemons,they,11,1
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",13,25,Mama,her,12,0
"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.",29,34,Antonio,his,13,1
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .",46,50,chair,it,14,0
"Larry , a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry Larry's father , a gang leader, was shot to death; his father's disciple, Antonio , takes Larry under his wing, and quickly molds him into a drug runner.",0,34,Larry,his,15,0
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .",4,50,living room,it,16,0
"Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.",16,35,Edward,he,17,1
